feature,importance,target
pitches_per_BF_std,0.0026718461886048317,IP
team_k_rate_vs_hand_std,0.0026563231367617846,IP
team_hr_rate_vs_hand_last10,0.0026502443943172693,IP
pitcher_bb_rate_vs_hand_std_R,0.0026436923071742058,IP
HR_rate_last10,0.0026427037082612514,IP
matchup_h,0.0026375458110123873,IP
pitcher_bb_rate_vs_hand_last10_R,0.002632698742672801,IP
starter_pct_last10,0.0026312517002224922,IP
BF_per_IP_std,0.002602970926091075,IP
BB_last10,0.002602066844701767,IP
team_k_rate_vs_hand_last10,0.0025996409822255373,IP
team_h_rate_vs_hand_last10,0.0025931112468242645,IP
pitches_std,0.002548155141994357,IP
lineup_tt_bb,0.00254369736649096,IP
team_bb_rate_vs_hand_last10,0.002542129484936595,IP
lineup_tt_hr,0.0025109914131462574,IP
pitcher_h_rate_vs_hand_last10_R,0.0025078842882066965,IP
BB_rate_last21,0.0024623689241707325,IP
BB_rate_last30,0.0024032355286180973,IP
team_h_rate_vs_hand_std,0.002363932318985462,IP
BB_last14,0.0023194316308945417,IP
K_rate_std,0.0023159084375947714,IP
pitcher_k_rate_vs_hand_std_R,0.002300187712535262,IP
lineup_tt_k,0.0022995476610958576,IP
avg_velocity_std,0.0022993346210569143,IP
lineup_tt_h,0.0022675006184726954,IP
H_rate_last21,0.002256233710795641,IP
H_rate_last7,0.0022382764145731926,IP
K_last7,0.0021774638444185257,IP
BB_rate_last7,0.0021577065344899893,IP
pitcher_bb_rate_vs_hand_std_L,0.0020731191616505384,IP
K_rate_last7,0.002067163586616516,IP
avg_velocity_last10,0.0020631025545299053,IP
BF_last10,0.00201086001470685,IP
park_factor,0.0019895185250788927,IP
K_rate_last30,0.0019545669201761484,IP
pitches_last30,0.001895587658509612,IP
H_rate_last14,0.0017697066068649292,IP
H_rate_last30,0.0017541794804856181,IP
BB_last21,0.0017287471564486623,IP
K_rate_last10,0.0016206132713705301,IP
outs_last30,0.0014006244018673897,IP
BB_last30,0.0,IP
matchup_k,0.24492678539495652,K_per_9
p_tt_k,0.09677288734194835,K_per_9
lineup_tt_k,0.03945740275184222,K_per_9
K_rate_last10,0.03207572999725407,K_per_9
K_rate_last21,0.030904028593263397,K_per_9
K_rate_std,0.03052768526162517,K_per_9
avg_velocity_last7,0.02999472678720221,K_per_9
avg_velocity_last10,0.02676312688813239,K_per_9
K_rate_last30,0.02401491041853982,K_per_9
avg_velocity_std,0.022885054334461197,K_per_9
K_rate_last14,0.01878250673545246,K_per_9
K_rate_last7,0.015490771170526158,K_per_9
team_k_rate_vs_hand_std,0.012378451467220867,K_per_9
lineup_tt_hr,0.010424541975477855,K_per_9
lineup_tt_h,0.010414075669162692,K_per_9
pitches_last3,0.009345886325228685,K_per_9
matchup_bb,0.0093050867036873,K_per_9
outs_last3,0.008863774527291498,K_per_9
avg_spin_std,0.008650635766794904,K_per_9
pitcher_bb_rate_vs_hand_std_R,0.00856243274835983,K_per_9
