player_type,team,opponent,player_name,mlb_id,lineup_spot,pos,lineup_status,proj_pa,proj_ip,proj_outs,proj_runs_allowed,proj_hits_allowed,proj_strikeouts,proj_walks,proj_hits,proj_runs,proj_rbi,proj_hrrbi,proj_hr,used_fallback,confidence_score,proj_pa_confidence_score,proj_hits_confidence_score,proj_hr_confidence_score,proj_strikeouts_confidence_score,proj_runs_confidence_score,proj_rbi_confidence_score,proj_hrrbi_confidence_score,proj_walks_confidence_score,confidence,proj_pa_confidence,proj_hits_confidence,proj_hr_confidence,proj_strikeouts_confidence,proj_runs_confidence,proj_rbi_confidence,proj_hrrbi_confidence,proj_walks_confidence,game_date
hitter,KC,STL,Salvador Perez,521692,5.0,C,Confirmed,4.31,,,,,1.4,0.31,0.96,0.46,0.38,1.8,0.04,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-06-18
hitter,KC,STL,Carter Jensen,695600,6.0,DH,Confirmed,3.57,,,,,1.28,0.44,0.62,0.32,0.28,1.23,0.07,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-06-18
hitter,KC,STL,Nick Loftin,679845,7.0,3B,Confirmed,3.76,,,,,0.84,0.27,0.79,0.33,0.26,1.38,0.01,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-06-18
hitter,KC,STL,Isaac Collins,686555,8.0,LF,Confirmed,4.14,,,,,1.1,0.43,1.04,0.46,0.37,1.87,0.05,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-06-18
hitter,KC,STL,Michael Massey,686681,9.0,2B,Confirmed,2.97,,,,,0.93,0.2,0.65,0.28,0.23,1.16,0.03,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-06-18
hitter,STL,KC,JJ Wetherholt,802139,1.0,2B,Confirmed,4.09,,,,,1.01,0.39,0.66,0.35,0.23,1.25,0.02,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-06-18
hitter,STL,KC,Iván Herrera,671056,2.0,DH,Confirmed,4.06,,,,,0.98,0.42,0.7,0.39,0.27,1.36,0.06,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-06-18
hitter,STL,KC,Jordan Walker,691023,3.0,RF,Confirmed,4.08,,,,,1.14,0.38,0.77,0.41,0.33,1.51,0.06,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-06-18
hitter,STL,KC,Nelson Velázquez,676369,4.0,RF,Confirmed,3.77,,,,,1.04,0.33,0.54,0.29,0.21,1.03,0.02,True,40.0,44.0,40.0,32.0,37.0,35.0,35.0,36.0,38.0,low,low,low,low,low,low,low,low,low,2026-06-18
hitter,STL,KC,Alec Burleson,676475,5.0,1B,Confirmed,3.88,,,,,1.07,0.31,0.75,0.39,0.31,1.45,0.04,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-06-18
hitter,STL,KC,Masyn Winn,691026,6.0,SS,Confirmed,3.9,,,,,1.05,0.33,0.66,0.29,0.25,1.2,0.01,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-06-18
hitter,STL,KC,Blaze Jordan,691458,7.0,3B,Confirmed,3.7,,,,,1.02,0.32,0.52,0.24,0.18,0.93,0.01,True,40.0,44.0,40.0,32.0,37.0,35.0,35.0,36.0,38.0,low,low,low,low,low,low,low,low,low,2026-06-18
hitter,STL,KC,José Fermín,665877,8.0,SS,Confirmed,3.37,,,,,0.82,0.22,0.39,0.17,0.13,0.69,0.0,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-06-18
hitter,STL,KC,Pedro Pagés,686780,9.0,1B,Confirmed,4.02,,,,,1.2,0.27,0.62,0.28,0.23,1.13,0.04,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-06-18
hitter,ATH,LAA,Zack Gelof,680869,1.0,3B,Confirmed,4.11,,,,,0.79,0.53,0.84,0.45,0.29,1.59,0.03,False,82.0,86.0,82.0,74.0,79.0,77.0,77.0,78.0,80.0,high,high,high,medium,medium,medium,medium,medium,high,2026-06-18
hitter,ATH,LAA,Nick Kurtz,701762,2.0,1B,Confirmed,4.8,,,,,1.03,1.2,0.84,0.61,0.32,1.77,0.07,False,82.0,86.0,82.0,74.0,79.0,77.0,77.0,78.0,80.0,high,high,high,medium,medium,medium,medium,medium,high,2026-06-18
hitter,ATH,LAA,Shea Langeliers,669127,3.0,C,Confirmed,4.78,,,,,0.72,0.68,0.94,0.56,0.43,1.93,0.11,False,82.0,86.0,82.0,74.0,79.0,77.0,77.0,78.0,80.0,high,high,high,medium,medium,medium,medium,medium,high,2026-06-18
hitter,ATH,LAA,Tyler Soderstrom,691016,4.0,LF,Confirmed,3.88,,,,,0.69,0.64,0.86,0.48,0.34,1.69,0.04,False,82.0,86.0,82.0,74.0,79.0,77.0,77.0,78.0,80.0,high,high,high,medium,medium,medium,medium,medium,high,2026-06-18
