player_type,team,opponent,player_name,mlb_id,lineup_spot,pos,lineup_status,proj_pa,proj_ip,proj_outs,proj_runs_allowed,proj_hits_allowed,proj_strikeouts,proj_walks,direct_K,rate_K,direct_BB,rate_BB,direct_H,rate_H,direct_HR,rate_HR,proj_hits,proj_runs,proj_rbi,proj_hrrbi,proj_hr,used_fallback,confidence_score,proj_pa_confidence_score,proj_hits_confidence_score,proj_hr_confidence_score,proj_strikeouts_confidence_score,proj_runs_confidence_score,proj_rbi_confidence_score,proj_hrrbi_confidence_score,proj_walks_confidence_score,confidence,proj_pa_confidence,proj_hits_confidence,proj_hr_confidence,proj_strikeouts_confidence,proj_runs_confidence,proj_rbi_confidence,proj_hrrbi_confidence,proj_walks_confidence,game_date,proj_hr_allowed,direct_TB,rate_TB,proj_tb
hitter,BOS,TB,Ceddanne Rafaela,678882,2.0,CF,Confirmed,4.18,,,,,0.92,0.21,0.8776762655382849,0.9670596211998798,0.21644630979087703,0.20735915262764906,0.8037064261517356,0.8050208032454083,0.023010217400614506,0.023914389716947735,0.8,0.56,0.49,2.04,0.02,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-06-08,,1.0843127293849517,1.1038540672117203,1.1
hitter,BOS,TB,Wilyer Abreu,677800,3.0,RF,Confirmed,4.23,,,,,0.83,0.29,0.8192410108850637,0.8439105200791552,0.29949633125771746,0.2831394957311151,0.8330375591282578,0.8747095577486925,0.027399342637164738,0.024824487549481813,0.86,0.56,0.55,2.08,0.03,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-06-08,,1.116362626755183,1.1380636020350243,1.13
hitter,BOS,TB,Willson Contreras,575929,4.0,1B,Confirmed,3.89,,,,,1.03,0.23,1.0218274382975057,1.0432358491273732,0.23031944831616996,0.22388844233941102,0.7116600724399964,0.7307801139082463,0.05391800770583531,0.05041581828714988,0.72,0.69,0.73,2.39,0.05,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-06-08,,1.1008445350334841,1.0686404703636745,1.08
hitter,BOS,TB,Mickey Gasper,681508,5.0,DH,Confirmed,3.32,,,,,0.94,0.15,0.8964761859285278,0.978361276830305,0.15515823003049772,0.14058681696496586,0.6000492084303723,0.5531248145005105,0.02358553039332339,0.025350492084333244,0.57,0.47,0.45,1.69,0.02,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-06-08,,0.7789548188453217,0.7276437390492756,0.75
hitter,BOS,TB,Caleb Durbin,702332,6.0,3B,Confirmed,3.41,,,,,0.53,0.13,0.48482952363901965,0.575789274276521,0.13886629140778062,0.11603031056477223,0.6930962770972401,0.603588259240339,0.014055357308821239,0.01523606099269359,0.64,0.42,0.47,1.72,0.01,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-06-08,,0.8160597553460379,0.791042115398469,0.8
hitter,BOS,TB,Isiah Kiner-Falefa,643396,7.0,SS,Confirmed,3.06,,,,,0.63,0.14,0.565807940578025,0.697184304935579,0.16125171123173054,0.12494242303544105,0.454295667354944,0.3762745963875711,0.008073362168836303,0.0072063703831826125,0.41,0.42,0.41,1.64,0.01,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-06-08,,0.5437578854645067,0.5034322461474308,0.52
hitter,BOS,TB,Marcelo Mayer,691785,8.0,SS,Confirmed,3.02,,,,,0.62,0.12,0.6076528961810319,0.6295515460869332,0.12708670652013065,0.112760103339966,0.639168517946104,0.5135385662701047,0.010333496504093776,0.02027507496999028,0.57,0.37,0.37,1.46,0.02,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-06-08,,0.7931507870641413,0.6774756746113421,0.73
hitter,BOS,TB,Carlos Narváez,665966,9.0,C,Confirmed,3.46,,,,,0.9,0.31,0.9277507660415093,0.8628273915000266,0.30561279240927985,0.30473917193248445,0.7074498455323313,0.6383035763182309,0.034992516227411716,0.032091043452884445,0.67,0.41,0.4,1.55,0.03,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-06-08,,1.1303910744521954,0.8762909631378709,0.99
hitter,CLE,NYY,Travis Bazzana,683953,1.0,2B,Confirmed,4.64,,,,,0.96,0.41,0.858711605735953,1.0539958380448722,0.38744505464780193,0.43772318852957237,0.6463352950140983,0.725961951674322,0.036486875665004394,0.05400456041661665,0.69,0.46,0.3,1.63,0.05,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-06-08,,0.8925331420134414,1.0541975310915996,0.98
hitter,CLE,NYY,José Ramírez,608070,2.0,3B,Confirmed,4.67,,,,,0.86,0.45,0.8624150366973178,0.8662080214390947,0.39909439309604505,0.5108487148898032,0.6314453670486193,0.7419454091621054,0.04215985154481819,0.04239768293042212,0.69,0.48,0.31,1.65,0.04,False,96.0,99.0,96.0,88.0,93.0,91.0,91.0,92.0,94.0,high,high,high,high,high,high,high,high,high,2026-06-08,,0.951172734207535,1.0833543454914223,1.02
